cost_ui,cost_vi,status_ui,status_vi,cost_mi,status_mi,cost_budget
+,+,M,M,,,
+,+z,M,M,,,
+,-,M,M,,,
+,-z,M,M,,,
+z,+,M,M,,,
+z,+z,M,M,,,
+z,-,M,M,,,
+z,-z,M,M,,,
-,+,M,M,,,
-,+z,M,M,,,
-,-,M,M,,,
-,-z,M,M,,,
-z,+,M,M,,,
-z,+z,M,M,,,
-z,-,M,M,,,
-z,-z,M,M,,,
+,+,M,U,,,
+,+z,M,U,,,
+,-,M,U,,,
+,-z,M,U,,,
+z,+,M,U,,,
+z,+z,M,U,,,
+z,-,M,U,,,
+z,-z,M,U,,,
-,+,M,U,,,
-,+z,M,U,,,
-,-,M,U,,,
-,-z,M,U,,,
-z,+,M,U,,,
-z,+z,M,U,,,
-z,-,M,U,,,
-z,-z,M,U,,,
+,+,U,M,,,
+,+z,U,M,,,
+,-,U,M,,,
+,-z,U,M,,,
+z,+,U,M,,,
+z,+z,U,M,,,
+z,-,U,M,,,
+z,-z,U,M,,,
-,+,U,M,,,
-,+z,U,M,,,
-,-,U,M,,,
-,-z,U,M,,,
-z,+,U,M,,,
-z,+z,U,M,,,
-z,-,U,M,,,
-z,-z,U,M,,,
+,+,U,U,,,
+,+z,U,U,,,
+,-,U,U,,,
+,-z,U,U,,,
+z,+,U,U,,,
+z,+z,U,U,,,
+z,-,U,U,,,
+z,-z,U,U,,,
-,+,U,U,,,
-,+z,U,U,,,
-,-,U,U,,,
-,-z,U,U,,,
-z,+,U,U,,,
-z,+z,U,U,,,
-z,-,U,U,,,
-z,-z,U,U,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
NP,not possible,,,,,
sob,sum of both,,,,,
CM,connected modified,,,,,
DM,disconnected modified,,,,,
rs,remain same,,,,,
CU,connected unmodified,,,,,
DU,disconnected unmodified,,,,,
som,status of modified,,,,,
com,cost of modified,,,,,
s_max_abs_c,status of max of absolute cost,,,,,
min_abs_c,min of absolute cost,,,,,
