cost_ui,cost_vi,status_ui,status_vi,cost_mi,status_mi,cost_budget
+,+,M,M,sob,CM,rs
+,+z,M,M,sob,CM,rs
+,-,M,M,NP,,
+,-z,M,M,NP,,
+z,+,M,M,sob,CM,rs
+z,+z,M,M,sob,CM,rs
+z,-,M,M,NP,,
+z,-z,M,M,NP,,
-,+,M,M,NP,,
-,+z,M,M,NP,,
-,-,M,M,sob,DM,rs
-,-z,M,M,sob,DM,rs
-z,+,M,M,NP,,
-z,+z,M,M,NP,,
-z,-,M,M,sob,DM,rs
-z,-z,M,M,sob,DM,rs
+,+,M,U,sob,CM,rs
+,+z,M,U,sob,CM,rs
+,-,M,U,com,"som, M",cou
+,-z,M,U,com,"som, M",cou
+z,+,M,U,sob,CM,rs
+z,+z,M,U,sob,CM,rs
+z,-,M,U,com,"som, M",cou
+z,-z,M,U,com,"som, M",cou
-,+,M,U,com,"som, M",cou
-,+z,M,U,com,"som, M",cou
-,-,M,U,sob,DM,rs
-,-z,M,U,sob,DM,rs
-z,+,M,U,com,"som, M",cou
-z,+z,M,U,com,"som, M",cou
-z,-,M,U,sob,DM,rs
-z,-z,M,U,sob,DM,rs
+,+,U,M,sob,CM,rs
+,+z,U,M,sob,CM,rs
+,-,U,M,com,"som, M",cou
+,-z,U,M,com,"som, M",cou
+z,+,U,M,sob,CM,rs
+z,+z,U,M,sob,CM,rs
+z,-,U,M,com,"som, M",cou
+z,-z,U,M,com,"som, M",cou
-,+,U,M,com,"som, M",cou
-,+z,U,M,com,"som, M",cou
-,-,U,M,sob,DM,rs
-,-z,U,M,sob,DM,rs
-z,+,U,M,com,"som, M",cou
-z,+z,U,M,com,"som, M",cou
-z,-,U,M,sob,DM,rs
-z,-z,U,M,sob,DM,rs
+,+,U,U,sob,CU,rs
+,+z,U,U,sob,CU,rs
+,-,U,U,sob,"s_max_abs_c, U",min_abs_c
+,-z,U,U,sob,"s_max_abs_c, U",min_abs_c
+z,+,U,U,sob,CU,rs
+z,+z,U,U,sob,CU,rs
+z,-,U,U,sob,"s_max_abs_c, U",min_abs_c
+z,-z,U,U,sob,"s_max_abs_c, U",min_abs_c
-,+,U,U,sob,"s_max_abs_c, U",min_abs_c
-,+z,U,U,sob,"s_max_abs_c, U",min_abs_c
-,-,U,U,sob,DU,rs
-,-z,U,U,sob,DU,rs
-z,+,U,U,sob,"s_max_abs_c, U",min_abs_c
-z,+z,U,U,sob,"s_max_abs_c, U",min_abs_c
-z,-,U,U,sob,DU,rs
-z,-z,U,U,sob,DU,rs
,,,,,,
,,,,,,
,,,,,,
,,,,,,
NP,not possible,,,,,
sob,sum of both,,,,,
CM,connected modified,,,,,
DM,disconnected modified,,,,,
rs,remain same,,,,,
CU,connected unmodified,,,,,
DU,disconnected unmodified,,,,,
som,status of modified,,,,,
com,cost of modified,,,,,
s_max_abs_c,status of max of absolute cost,,,,,
min_abs_c,min of absolute cost,,,,,
