file;vertices;edges;time;solsize;recsteps;finished;verified
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a001.dimacs;10;8;0.03;41;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a003.dimacs;10;7;0.02;142;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a005.dimacs;10;14;0.03;229;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a007.dimacs;10;3;0.01;0;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a009.dimacs;10;3;0.01;28;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a011.dimacs;20;8;0.01;24;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a013.dimacs;20;20;0.04;204;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a015.dimacs;20;15;0.02;259;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a017.dimacs;20;23;0.14;328;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a019.dimacs;20;10;0.02;252;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a021.dimacs;50;68;127.67;1366;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a023.dimacs;50;97;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a025.dimacs;50;170;235.34;7044;;1;>>BAD COST<< ;2220
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a027.dimacs;75;200;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a029.dimacs;75;262;;;;0;
