file;vertices;edges;time;solsize;recsteps;finished;verified
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a001.dimacs;10;8;0.02;41;13;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a003.dimacs;10;7;0.00;142;52;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a005.dimacs;10;14;0.01;229;125;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a007.dimacs;10;3;0.00;0;2;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a009.dimacs;10;3;0.00;28;19;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a011.dimacs;20;8;0.00;24;11;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a013.dimacs;20;20;0.03;204;78;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a015.dimacs;20;15;0.01;259;25;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a017.dimacs;20;23;0.05;328;149;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a019.dimacs;20;10;0.01;252;61;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a021.dimacs;50;68;7.66;1366;6786;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a023.dimacs;50;97;;;;0;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a025.dimacs;50;170;;;;0;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a027.dimacs;75;200;;;;0;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a029.dimacs;75;262;;;;0;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a031.dimacs;100;390;;;;0;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a033.dimacs;100;371;;;;0;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a035.dimacs;100;335;;;;0;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a037.dimacs;100;375;;;;0;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a039.dimacs;100;372;;;;0;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a041.dimacs;100;418;;;;0;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r001.dimacs;10;22;0.02;93;58;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r003.dimacs;10;13;0.01;66;40;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r005.dimacs;10;22;0.01;62;13;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r007.dimacs;10;17;0.02;98;97;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r009.dimacs;10;22;0.04;93;58;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r011.dimacs;10;13;0.01;66;40;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r013.dimacs;10;22;0.01;62;13;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r015.dimacs;10;17;0.02;98;97;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r017.dimacs;10;22;0.03;93;58;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r019.dimacs;10;13;0.01;66;40;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r021.dimacs;10;22;0.01;62;13;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r023.dimacs;10;17;0.02;98;97;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r025.dimacs;10;20;0.02;85;56;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r027.dimacs;10;20;0.02;85;56;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r029.dimacs;10;20;0.02;85;56;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r031.dimacs;20;159;1.73;367;639;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r033.dimacs;20;162;0.95;280;336;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r035.dimacs;20;165;0.40;243;174;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r037.dimacs;20;159;1.67;367;639;1;correct;
