file;vertices;edges;time;solsize;recsteps;finished;verified
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r001.dimacs;10;22;0.04;93;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r003.dimacs;10;13;0.01;66;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r005.dimacs;10;22;0.01;62;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r007.dimacs;10;17;0.02;98;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r009.dimacs;10;22;0.03;93;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r011.dimacs;10;13;0.01;66;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r013.dimacs;10;22;0.01;62;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r015.dimacs;10;17;0.02;98;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r017.dimacs;10;22;0.03;93;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r019.dimacs;10;13;0.01;66;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r021.dimacs;10;22;0.01;62;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r023.dimacs;10;17;0.02;98;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r025.dimacs;10;20;0.03;85;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r027.dimacs;10;20;0.03;85;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r029.dimacs;10;20;0.03;85;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r031.dimacs;20;159;210.94;367;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r033.dimacs;20;162;61.37;280;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r035.dimacs;20;165;16.34;243;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r037.dimacs;20;159;211.12;367;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r039.dimacs;20;162;61.34;280;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r041.dimacs;20;116;4.60;233;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r043.dimacs;20;72;76.99;336;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r045.dimacs;20;108;87.13;359;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r047.dimacs;20;104;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r049.dimacs;20;66;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r051.dimacs;20;114;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r053.dimacs;20;114;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r055.dimacs;20;116;9.52;233;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r057.dimacs;20;72;125.51;336;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r059.dimacs;20;108;114.37;359;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r061.dimacs;30;231;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r063.dimacs;30;141;249.23;2785;;1;>>BAD COST<< ;1934
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r065.dimacs;30;223;23.22;5526;;1;>>BAD COST<< ;4507
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r067.dimacs;30;159;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r069.dimacs;30;197;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r071.dimacs;30;165;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r073.dimacs;30;165;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r075.dimacs;30;150;;;;0;
