file;vertices;edges;time;solsize;recsteps;finished;verified
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w001.dimacs;4;3;0.01;0;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w003.dimacs;6;8;0.01;21;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w005.dimacs;16;118;0.10;4;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w007.dimacs;16;107;0.07;7;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w009.dimacs;13;77;0.04;8;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w011.dimacs;14;88;0.06;10;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w013.dimacs;15;48;0.03;14;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w015.dimacs;10;14;0.01;16;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w017.dimacs;14;60;0.06;20;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w019.dimacs;16;112;0.12;22;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w021.dimacs;11;22;0.02;24;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w023.dimacs;16;39;0.16;80;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w025.dimacs;16;95;0.15;84;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w027.dimacs;16;84;0.13;88;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w029.dimacs;16;68;0.22;92;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w031.dimacs;13;75;0.39;102;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w033.dimacs;16;48;0.07;105;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w035.dimacs;16;45;0.14;122;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w037.dimacs;15;45;2.10;149;;1;>>BAD COST<< ;9
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w039.dimacs;18;139;0.12;7;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w041.dimacs;17;40;0.03;16;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w043.dimacs;16;92;0.08;21;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w045.dimacs;15;86;0.07;27;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w047.dimacs;15;81;0.09;38;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w049.dimacs;18;143;0.20;46;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w051.dimacs;17;115;0.14;53;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w053.dimacs;15;82;0.10;56;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w055.dimacs;43;268;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w057.dimacs;44;893;276.59;216;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w059.dimacs;44;784;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w061.dimacs;44;634;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w063.dimacs;44;759;10.41;280;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w065.dimacs;44;304;188.80;345;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w067.dimacs;44;554;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w069.dimacs;44;910;6.86;153;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w071.dimacs;45;313;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w073.dimacs;45;926;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w075.dimacs;45;438;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w077.dimacs;45;635;Command terminated by signal 8 191.31;;;1;verifier.py: ;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w079.dimacs;42;470;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w081.dimacs;45;833;;;;0;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w083.dimacs;45;811;;;;0;
