file;vertices;edges;time;solsize;recsteps;finished;verified
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r001.dimacs;10;22;0.04;93;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r003.dimacs;10;13;0.01;66;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r005.dimacs;10;22;0.01;62;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r007.dimacs;10;17;0.02;98;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r009.dimacs;10;22;0.03;93;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r011.dimacs;10;13;0.01;66;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r013.dimacs;10;22;0.01;62;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r015.dimacs;10;17;0.02;98;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r017.dimacs;10;22;0.04;93;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r019.dimacs;10;13;0.01;66;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r021.dimacs;10;22;0.01;62;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r023.dimacs;10;17;0.02;98;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r025.dimacs;10;20;0.03;85;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r027.dimacs;10;20;0.03;85;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r029.dimacs;10;20;0.03;85;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/1-random/r031.dimacs;20;159;44.28;3452;;1;>>BAD COST<< ;3085
