file;vertices;edges;time;solsize;recsteps;finished;verified
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a001.dimacs;10;8;0.00;41;1;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a003.dimacs;10;7;0.00;247;2;1;>>BAD COST<< ;105
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a005.dimacs;10;14;0.00;365;6;1;>>BAD COST<< ;136
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a007.dimacs;10;3;0.00;0;1;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a009.dimacs;10;3;0.00;28;1;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a011.dimacs;20;8;0.00;24;1;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a013.dimacs;20;20;0.00;295;5;1;>>BAD COST<< ;91
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a015.dimacs;20;15;0.00;259;1;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a017.dimacs;20;23;0.00;328;5;1;correct;
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a019.dimacs;20;10;0.00;445;5;1;>>BAD COST<< ;193
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a021.dimacs;50;68;0.03;1890;19;1;>>BAD COST<< ;524
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a023.dimacs;50;97;0.07;3634;49;1;>>BAD COST<< ;1111
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a025.dimacs;50;170;0.18;7227;117;1;>>BAD COST<< ;2403
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a027.dimacs;75;200;0.41;7413;131;1;>>BAD COST<< ;2874
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a029.dimacs;75;262;0.63;11631;185;1;>>BAD COST<< ;4339
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a031.dimacs;100;390;1.70;15365;289;1;>>BAD COST<< ;5021
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a033.dimacs;100;371;1.50;15446;267;1;>>BAD COST<< ;5509
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a035.dimacs;100;335;1.36;13899;244;1;>>BAD COST<< ;4978
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a037.dimacs;100;375;1.56;15271;268;1;>>BAD COST<< ;4958
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a039.dimacs;100;372;1.51;15345;264;1;>>BAD COST<< ;4319
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a041.dimacs;100;418;1.84;17068;302;1;>>BAD COST<< ;4880
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a043.dimacs;150;857;10.85;37469;678;1;our own cost is weird
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a045.dimacs;150;1469;28.48;70598;1279;1;our own cost is weird
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a047.dimacs;150;848;10.60;37950;674;1;our own cost is weird
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a049.dimacs;150;1395;25.61;67598;1225;1;our own cost is weird
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a051.dimacs;150;758;7.87;31952;547;1;our own cost is weird
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a053.dimacs;150;925;12.10;39598;748;1;our own cost is weird
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a055.dimacs;200;1657;47.89;71712;1408;1;our own cost is weird
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a057.dimacs;200;1668;49.55;75099;1431;1;our own cost is weird
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a059.dimacs;200;1373;33.33;52405;1095;1;our own cost is weird
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a061.dimacs;200;1706;50.16;73356;1468;1;our own cost is weird
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a063.dimacs;200;1387;34.32;57071;1134;1;our own cost is weird
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/3-actionseq/a065.dimacs;200;1553;41.93;65104;1263;1;our own cost is weird
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r001.dimacs;10;22;0.00;372;13;1;>>BAD COST<< ;279
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r003.dimacs;10;13;0.00;190;4;1;>>BAD COST<< ;124
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r005.dimacs;10;22;0.00;359;13;1;>>BAD COST<< ;297
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r007.dimacs;10;17;0.00;243;9;1;>>BAD COST<< ;145
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r009.dimacs;10;22;0.00;372;13;1;>>BAD COST<< ;279
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r011.dimacs;10;13;0.00;190;4;1;>>BAD COST<< ;124
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r013.dimacs;10;22;0.00;359;13;1;>>BAD COST<< ;297
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r015.dimacs;10;17;0.00;243;9;1;>>BAD COST<< ;145
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r017.dimacs;10;22;0.00;372;13;1;>>BAD COST<< ;279
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r019.dimacs;10;13;0.00;190;4;1;>>BAD COST<< ;124
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r021.dimacs;10;22;0.01;359;13;1;>>BAD COST<< ;297
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r023.dimacs;10;17;0.00;243;9;1;>>BAD COST<< ;145
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r025.dimacs;10;20;0.00;365;12;1;>>BAD COST<< ;280
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r027.dimacs;10;20;0.00;365;12;1;>>BAD COST<< ;280
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r029.dimacs;10;20;0.00;365;12;1;>>BAD COST<< ;280
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r031.dimacs;20;159;0.08;3854;141;1;>>BAD COST<< ;3487
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r033.dimacs;20;162;0.09;4463;150;1;>>BAD COST<< ;4183
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r035.dimacs;20;165;0.09;4116;147;1;>>BAD COST<< ;3873
/home/zia/studies/Algorithm_Engineering/AlgorithmEngineering/wce-students/1-random/r037.dimacs;20;159;0.08;3854;141;1;>>BAD COST<< ;3487
